id,parent_id,name_en,name_ar,slug
1,,Faith (Iman),الإيمان,faith-iman
2,,Prayer (Salah),الصلاة,prayer-salah
3,,Purification (Taharah),الطهارة,purification-taharah
4,,Fasting (Sawm),الصوم,fasting-sawm
5,,Charity (Zakat),الزكاة,charity-zakat
6,,Pilgrimage (Hajj),الحج,pilgrimage-hajj
