id,parent_id,name_ar,name_en,name_bn,name_de,name_es,name_fr,name_id,name_ml,name_pt,name_ru,name_ta,name_tr,name_ur,name_zh,name_hi,name_it,name_fa,name_am,name_az,name_bs,name_cs,name_ha,name_ku,name_nl,name_ps,name_ro,name_si,name_so,name_sq,name_sv,name_sw,name_tg,name_th,name_ug,name_uz,name_vi,name_yo,slug
1967,136,زكاة بهيمة الأنعام,Zakah of Livestock,,Zakah of Livestock,Zakah of Livestock,Zakah of Livestock,Zakah of Livestock,,,Zakah of Livestock,,Zakah of Livestock,Zakah of Livestock,,,,Zakah of Livestock,,,,,,,,,,,,,,,,,,,,,zakah-of-livestock
1968,136,زكاة الخارج من الأرض,Zakah of Land Produce,,Zakah of Land Produce,Zakah of Land Produce,Zakah of Land Produce,Zakah of Land Produce,,,Zakah of Land Produce,,Zakah of Land Produce,Zakah of Land Produce,,,,Zakah of Land Produce,,,,,,,,,,,,,,,,,,,,,zakah-of-land-produce
1969,136,زكاة الفطر,Zakat-ul-Fitr (Minor-Eid Charity),,Zakat-ul-Fitr (Minor-Eid Charity),Zakat-ul-Fitr (Minor-Eid Charity),Zakat-ul-Fitr (Minor-Eid Charity),Zakat-ul-Fitr (Minor-Eid Charity),,,Zakat-ul-Fitr (Minor-Eid Charity),,Zakat-ul-Fitr (Minor-Eid Charity),Zakat-ul-Fitr (Minor-Eid Charity),,,,Zakat-ul-Fitr (Minor-Eid Charity),,,,,,,,,,,,,,,,,,,,,zakat-ul-fitr-minor-eid-charity
1970,136,مصارف الزكاة,Channels of Zakah (People Who Receive Zakah),,Channels of Zakah (People Who Receive Zakah),Channels of Zakah (People Who Receive Zakah),Channels of Zakah (People Who Receive Zakah),Channels of Zakah (People Who Receive Zakah),,,Channels of Zakah (People Who Receive Zakah),,Channels of Zakah (People Who Receive Zakah),Channels of Zakah (People Who Receive Zakah),,,,Channels of Zakah (People Who Receive Zakah),,,,,,,,,,,,,,,,,,,,,channels-of-zakah-people-who-receive-zakah
1971,136,صدقة التطوع,Voluntary Charity,,Voluntary Charity,Voluntary Charity,Voluntary Charity,Voluntary Charity,,,Voluntary Charity,,Voluntary Charity,Voluntary Charity,,,,Voluntary Charity,,,,,,,,,,,,,,,,,,,,,voluntary-charity
1972,137,وجوب الصيام وحكم تاركه,Obligation of Fasting and Ruling of Its Abandoning,,Obligation of Fasting and Ruling of Its Abandoning,Obligation of Fasting and Ruling of Its Abandoning,Obligation of Fasting and Ruling of Its Abandoning,Obligation of Fasting and Ruling of Its Abandoning,,,Obligation of Fasting and Ruling of Its Abandoning,,Obligation of Fasting and Ruling of Its Abandoning,Obligation of Fasting and Ruling of Its Abandoning,,,,Obligation of Fasting and Ruling of Its Abandoning,,,,,,,,,,,,,,,,,,,,,obligation-of-fasting-and-ruling-of-its-abandoning
1973,137,فضل الصيام,Virtue of Fasting,,Virtue of Fasting,Virtue of Fasting,Virtue of Fasting,Virtue of Fasting,,,Virtue of Fasting,,Virtue of Fasting,Virtue of Fasting,,,,Virtue of Fasting,,,,,,,,,,,,,,,,,,,,,virtue-of-fasting
1974,137,سنن الصيام,Recommended Acts of Fasting,,Recommended Acts of Fasting,Recommended Acts of Fasting,Recommended Acts of Fasting,Recommended Acts of Fasting,,,Recommended Acts of Fasting,,Recommended Acts of Fasting,Recommended Acts of Fasting,,,,Recommended Acts of Fasting,,,,,,,,,,,,,,,,,,,,,recommended-acts-of-fasting
1975,137,رؤية الهلال,Sighting the Crescent,,Sighting the Crescent,Sighting the Crescent,Sighting the Crescent,Sighting the Crescent,,,Sighting the Crescent,,Sighting the Crescent,Sighting the Crescent,,,,Sighting the Crescent,,,,,,,,,,,,,,,,,,,,,sighting-the-crescent
1976,137,صيام يوم الشك,Fasting on the Day of Doubt,,Fasting on the Day of Doubt,Fasting on the Day of Doubt,Fasting on the Day of Doubt,Fasting on the Day of Doubt,,,Fasting on the Day of Doubt,,Fasting on the Day of Doubt,Fasting on the Day of Doubt,,,,Fasting on the Day of Doubt,,,,,,,,,,,,,,,,,,,,,fasting-on-the-day-of-doubt
